Age,AK2015,AK2014,AK2013,AK2012,AK2011,AK2011to2015,"Just testing data - not official at all - AK PFD-based out-migration, adjusted for deaths - EddieH, Sept 2018"
0,0.072326166,0.079298048,0.084881637,0.09012148,0.076815398,0.080798569,
1,0.074155373,0.080422575,0.086099684,0.087605273,0.081803783,0.078542658,
2,0.07314318,0.080892208,0.081758721,0.087509144,0.078716156,0.078456474,
3,0.065274151,0.073770492,0.076028213,0.081520267,0.080732265,0.074568927,
4,0.06165455,0.066837107,0.071741267,0.077359,0.070288409,0.068939462,
5,0.055045028,0.066612729,0.07266436,0.073445818,0.070967742,0.067418569,
6,0.055879672,0.065021401,0.066636114,0.077170722,0.06563631,0.066414165,
7,0.05409851,0.055825465,0.067968457,0.068681055,0.061881668,0.062139089,
8,0.053271622,0.057882353,0.067100179,0.061950287,0.062146893,0.060363289,
9,0.050730952,0.058436533,0.059864603,0.065649606,0.056394361,0.058976378,
10,0.049454754,0.05424868,0.063375519,0.062981379,0.058688368,0.058301648,
11,0.047020713,0.053562654,0.05913504,0.053853565,0.053458517,0.052890173,
12,0.048046252,0.051215365,0.055917898,0.056627315,0.057162534,0.051578846,
13,0.046520954,0.046718147,0.055777651,0.050313234,0.05458711,0.050352388,
14,0.044159128,0.046912862,0.055872402,0.05297815,0.053227854,0.051481592,
15,0.04741926,0.045793293,0.052553297,0.05216285,0.052683798,0.049089841,
16,0.041958732,0.04549545,0.049055126,0.05515469,0.043122749,0.046891371,
17,0.046547315,0.044202754,0.047623792,0.053231192,0.046178955,0.046022392,
18,0.094315656,0.088089982,0.089910918,0.098970944,0.090107931,0.089184826,
19,0.112773168,0.118134362,0.105857602,0.118027138,0.103367107,0.107796683,
20,0.105251944,0.100358056,0.101489573,0.111759172,0.102740362,0.099830668,
21,0.098741822,0.105076288,0.097848266,0.119934581,0.104419102,0.101762675,
22,0.106575111,0.10454341,0.108301954,0.125021766,0.112632629,0.107487376,
23,0.109032316,0.105632567,0.110076575,0.119684898,0.109241429,0.109086026,
24,0.105165114,0.097136058,0.105110388,0.11408983,0.111943667,0.103823504,
25,0.096450428,0.09297608,0.100255319,0.113204286,0.094336516,0.100017283,
26,0.099468687,0.097463992,0.10607974,0.112319456,0.104181307,0.098929482,
27,0.095116361,0.104181558,0.09525456,0.118888406,0.103529199,0.100859748,
28,0.094837409,0.086678448,0.098863932,0.109158024,0.090186357,0.094515732,
29,0.086570477,0.094645189,0.09335004,0.107943682,0.104031447,0.094455067,
30,0.082160393,0.080928221,0.077942133,0.103800292,0.094077268,0.087518229,
31,0.087992178,0.091198212,0.097949048,0.102509492,0.093671376,0.091971479,
32,0.080943492,0.086905725,0.084188347,0.098767755,0.088779409,0.085354153,
33,0.083401695,0.082916898,0.087552743,0.103087548,0.086471702,0.088584197,
34,0.080313784,0.082953333,0.092194921,0.093726859,0.083315462,0.086046758,
35,0.078032544,0.075965497,0.079939363,0.084589699,0.077038788,0.076009309,
36,0.080529222,0.078349411,0.078314535,0.090178773,0.074439462,0.080085992,
37,0.070126825,0.071436221,0.075067935,0.077888889,0.079104478,0.073266667,
38,0.067430162,0.069788384,0.072283814,0.088292183,0.071196322,0.073455456,
39,0.071165362,0.067141404,0.069292066,0.075093442,0.06503974,0.068931929,
40,0.059897257,0.068312666,0.063321129,0.068783627,0.06089244,0.064373879,
41,0.073365617,0.064222326,0.067105711,0.068233826,0.06192442,0.060453505,
42,0.060662622,0.059260092,0.062422871,0.075031133,0.061230998,0.06139477,
43,0.061681599,0.055732484,0.065793676,0.069371588,0.059307701,0.060036399,
44,0.053431003,0.060452038,0.061156132,0.069735951,0.05716789,0.062288422,
45,0.052484182,0.05338703,0.050661504,0.05715482,0.051900367,0.052653617,
46,0.056227127,0.05799265,0.054836926,0.0584056,0.053279105,0.05339045,
47,0.057199441,0.050503919,0.051920642,0.060553809,0.050593801,0.051688812,
48,0.050028361,0.047705637,0.052001228,0.051794374,0.050425551,0.048593598,
49,0.052123971,0.04609156,0.05512808,0.054844607,0.049251701,0.047879342,
50,0.046057154,0.042230043,0.045950356,0.049995734,0.042990188,0.044296562,
51,0.0531,0.044005221,0.054420522,0.050965045,0.04473017,0.045806279,
52,0.048957558,0.045848936,0.047598215,0.049526003,0.047224971,0.04504297,
53,0.052345725,0.045308023,0.046908894,0.049876226,0.048667851,0.046905657,
54,0.04397409,0.044540362,0.046823357,0.046218487,0.046696115,0.043876274,
55,0.048057168,0.041973755,0.043489538,0.047752563,0.041028836,0.041373872,
56,0.048801534,0.045396185,0.04862774,0.048932799,0.044200947,0.045912946,
57,0.043384558,0.045278747,0.047399605,0.048032894,0.042368801,0.043584712,
58,0.040645774,0.038468827,0.042539267,0.052716873,0.038916256,0.041048618,
59,0.042578011,0.041930532,0.044006217,0.045179227,0.042399063,0.041505312,
60,0.042315407,0.045551463,0.046518432,0.052367513,0.044578976,0.045468799,
61,0.045166649,0.043778802,0.048577145,0.053963096,0.045576082,0.046698387,
62,0.043919992,0.047527875,0.051603905,0.053969022,0.046689198,0.048959342,
63,0.049388694,0.05078964,0.051189245,0.058792373,0.045801527,0.048808263,
64,0.044493165,0.041710526,0.050925301,0.054269175,0.043801769,0.046888567,
65,0.046897834,0.042588268,0.047315873,0.046795953,0.050140318,0.040331647,
66,0.046525324,0.043870566,0.042358928,0.064631245,0.040689517,0.049841396,
67,0.045852236,0.045813342,0.049989756,0.044672131,0.042285954,0.04602459,
68,0.034828993,0.050298907,0.048825332,0.040324257,0.034856029,0.041488256,
69,0.054916432,0.036532642,0.036136804,0.046843631,0.038138825,0.037118001,
70,0.02528886,0.03928885,0.051432439,0.048103843,0.030526029,0.04143548,
71,0.034727144,0.037851038,0.042737355,0.047082611,0.038082731,0.041709994,
72,0.032644733,0.041831543,0.051874063,0.04245283,0.037681159,0.042722372,
